filename,original_total_bits,huffman_encoded_bits,compression_ratio,bit_savings_percentage,original_entropy,code_length_variance,max_huffman_code_length,min_huffman_code_length
0006.jpg,7372800,7123926,1.03,3.38,7.698,1.8978,18,6
0007.jpg,7372800,7127729,1.03,3.32,7.7011,1.9799,19,6
0005.jpg,7372800,7051875,1.05,4.35,7.6256,1.7568,19,6
0010.jpg,7372800,7122561,1.04,3.39,7.7,1.8024,17,7
0004.jpg,7372800,7048879,1.05,4.39,7.6209,1.2353,12,6
0000.jpg,7372800,6838212,1.08,7.25,7.3917,1.7645,14,5
0001.jpg,7372800,6811656,1.08,7.61,7.3601,2.0443,17,5
0003.jpg,7372800,6949892,1.06,5.74,7.5123,1.8053,17,6
0002.jpg,7372800,6986195,1.06,5.24,7.5538,1.8484,17,6
0009.jpg,7372800,7108539,1.04,3.58,7.6824,1.9475,17,6
0008.jpg,7372800,7124817,1.03,3.36,7.6984,1.9067,17,6
