Pixel Value,Huffman Code
32,0000000
255,00000010
0,000000110
1,000000111
2,00000100
254,00000101
85,00000110
205,00000111
12,00001000
167,00001001
104,00001010
189,00001011
30,00001100
60,00001101
86,00001110
22,00001111
106,00010000
57,00010001
42,00010010
171,00010011
220,00010100
20,00010101
132,00010110
49,00010111
58,00011000
8,00011001
31,00011010
163,00011011
59,00011100
99,00011101
126,00011110
54,00011111
113,00100000
15,00100001
235,00100010
225,00100011
223,00100100
79,00100101
172,00100110
80,00100111
213,00101000
214,00101001
81,00101010
111,00101011
119,00101100
24,00101101
173,00101110
164,00101111
208,00110000
103,00110001
175,00110010
97,00110011
207,00110100
50,00110101
165,00110110
127,00110111
100,00111000
131,00111001
210,00111010
185,00111011
118,00111100
110,00111101
102,00111110
174,00111111
40,01000000
43,01000001
120,01000010
19,01000011
190,01000100
206,01000101
135,01000110
27,01000111
166,01001000
188,01001001
101,01001010
125,01001011
107,01001100
91,01001101
16,01001110
18,01001111
51,01010000
53,01010001
114,01010010
209,01010011
192,01010100
130,01010101
47,01010110
96,01010111
109,01011000
92,01011001
5,01011010
129,01011011
115,01011100
198,01011101
17,01011110
211,01011111
34,01100000
117,01100001
140,01100010
201,01100011
116,01100100
25,01100101
128,01100110
196,01100111
52,01101000
203,01101001
186,01101010
26,01101011
228,01101100
239,01101101
240,01101110
229,01101111
226,01110000
197,01110001
193,01110010
108,01110011
141,01110100
35,01110101
95,01110110
94,01110111
39,01111000
11,01111001
177,01111010
21,01111011
227,01111100
250,01111101
241,01111110
248,01111111
238,10000000
243,10000001
176,10000010
93,10000011
69,10000100
28,10000101
195,10000110
182,10000111
194,10001000
121,10001001
136,10001010
187,10001011
44,10001100
202,10001101
154,10001110
123,10001111
124,10010000
38,10010001
122,10010010
139,10010011
90,10010100
222,10010101
13,10010110
216,10010111
200,10011000
10,10011001
137,10011010
155,10011011
36,10011100
147,10011101
70,10011110
37,10011111
76,10100000
148,10100001
23,10100010
168,10100011
46,10100100
142,10100101
138,10100110
45,10100111
62,10101000
161,10101001
199,10101010
181,10101011
218,10101100
246,10101101
237,10101110
224,10101111
6,10110000
231,10110001
242,10110010
236,10110011
233,10110100
153,10110101
68,10110110
9,10110111
77,10111000
180,10111001
179,10111010
63,10111011
89,10111100
75,10111101
33,10111110
83,10111111
178,11000000
146,11000001
143,11000010
212,11000011
204,11000100
156,11000101
169,11000110
71,11000111
149,11001000
55,11001001
162,11001010
184,11001011
133,11001100
84,11001101
88,11001110
74,11001111
61,11010000
29,11010001
66,11010010
67,11010011
183,11010100
191,11010101
56,11010110
64,11010111
82,11011000
215,11011001
221,11011010
219,11011011
87,11011100
73,11011101
160,11011110
150,11011111
72,11100000
144,11100001
105,11100010
244,11100011
232,11100100
245,11100101
247,11100110
14,11100111
151,11101000
65,11101001
41,11101010
145,11101011
157,11101100
152,11101101
158,11101110
7,11101111
159,11110000
112,11110001
98,11110010
48,11110011
78,11110100
170,11110101
134,11110110
217,11110111
230,11111000
249,11111001
251,11111010
3,11111011
253,11111100
4,11111101
252,11111110
234,11111111
