image_name,run_length,value,huffman_code,code_length
0000.jpg,0,-1,110,3
0000.jpg,0,1,100,3
0000.jpg,0,0,0010,4
0000.jpg,0,2,0110,4
0000.jpg,0,-2,11110,5
0000.jpg,0,3,01110,5
0000.jpg,7,-1,01001,5
0000.jpg,7,1,00010,5
0000.jpg,0,-4,001111,6
0000.jpg,0,-3,111011,6
0000.jpg,0,4,010111,6
0000.jpg,1,-1,101110,6
0000.jpg,1,1,101111,6
0000.jpg,5,1,000010,6
0000.jpg,6,-1,101001,6
0000.jpg,6,1,101000,6
0000.jpg,0,-6,0101000,7
0000.jpg,0,-5,1110010,7
0000.jpg,0,5,1110001,7
0000.jpg,0,6,0111110,7
0000.jpg,0,7,0000001,7
0000.jpg,0,15,0001110,7
0000.jpg,4,-1,0100001,7
0000.jpg,4,1,0011000,7
0000.jpg,5,-1,1111111,7
0000.jpg,7,-2,0101100,7
0000.jpg,7,2,0011001,7
0000.jpg,0,-8,00110101,8
0000.jpg,0,-7,11101000,8
0000.jpg,0,8,11100000,8
0000.jpg,0,9,01111001,8
0000.jpg,0,10,01010100,8
0000.jpg,0,13,01010101,8
0000.jpg,0,14,10101011,8
0000.jpg,0,16,11111011,8
0000.jpg,0,17,01000111,8
0000.jpg,2,1,00000000,8
0000.jpg,3,-1,01010010,8
0000.jpg,3,1,01000110,8
0000.jpg,4,-2,00001110,8
0000.jpg,4,2,01000000,8
0000.jpg,5,-2,01111111,8
0000.jpg,5,2,10101010,8
0000.jpg,6,-2,10110101,8
0000.jpg,6,2,10101110,8
0000.jpg,7,3,00001101,8
0000.jpg,8,-1,00011001,8
0000.jpg,8,1,00000111,8
0000.jpg,15,1,00011110,8
0000.jpg,0,-10,000001000,9
0000.jpg,0,-9,111110100,9
0000.jpg,0,11,111110001,9
0000.jpg,0,12,101101111,9
0000.jpg,0,18,111111001,9
0000.jpg,0,19,111001100,9
0000.jpg,0,20,101100001,9
0000.jpg,0,21,011110110,9
0000.jpg,0,22,001101110,9
0000.jpg,0,23,000011111,9
0000.jpg,0,24,001110111,9
0000.jpg,0,25,000001010,9
0000.jpg,0,26,000011000,9
0000.jpg,0,27,000000011,9
0000.jpg,0,39,001110010,9
0000.jpg,0,40,001110100,9
0000.jpg,0,41,000001101,9
0000.jpg,0,42,00110image_name,run_length,value,huffman_code,code_length
0000.jpg,0,-1,110,3
0000.jpg,0,1,100,3
0000.jpg,0,0,0010,4
0000.jpg,0,2,0110,4
0000.jpg,0,-2,11110,5
0000.jpg,0,3,01110,5
0000.jpg,7,-1,01001,5
0000.jpg,7,1,00010,5
0000.jpg,0,-4,001111,6
0000.jpg,0,-3,111011,6
0000.jpg,0,4,010111,6
0000.jpg,1,-1,101110,6
0000.jpg,1,1,101111,6
0000.jpg,5,1,000010,6
0000.jpg,6,-1,101001,6
0000.jpg,6,1,101000,6
0000.jpg,0,-6,0101000,7
0000.jpg,0,-5,1110010,7
0000.jpg,0,5,1110001,7
0000.jpg,0,6,0111110,7
0000.jpg,0,7,0000001,7
0000.jpg,0,15,0001110,7
0000.jpg,4,-1,0100001,7
0000.jpg,4,1,0011000,7
0000.jpg,5,-1,1111111,7
0000.jpg,7,-2,0101100,7
0000.jpg,7,2,0011001,7
0000.jpg,0,-8,00110101,8
0000.jpg,0,-7,11101000,8
0000.jpg,0,8,11100000,8
0000.jpg,0,9,01111001,8
0000.jpg,0,10,01010100,8
0000.jpg,0,13,01010101,8
0000.jpg,0,14,10101011,8
0000.jpg,0,16,11111011,8
0000.jpg,0,17,01000111,8
0000.jpg,2,1,00000000,8
0000.jpg,3,-1,01010010,8
0000.jpg,3,1,01000110,8
0000.jpg,4,-2,00001110,8
0000.jpg,4,2,01000000,8
0000.jpg,5,-2,01111111,8
0000.jpg,5,2,10101010,8
0000.jpg,6,-2,10110101,8
0000.jpg,6,2,10101110,8
0000.jpg,7,3,00001101,8
0000.jpg,8,-1,00011001,8
0000.jpg,8,1,00000111,8
0000.jpg,15,1,00011110,8
0000.jpg,0,-10,000001000,9
0000.jpg,0,-9,111110100,9
0000.jpg,0,11,111110001,9
0000.jpg,0,12,101101111,9
0000.jpg,0,18,111111001,9
0000.jpg,0,19,111001100,9
0000.jpg,0,20,101100001,9
0000.jpg,0,21,011110110,9
0000.jpg,0,22,001101110,9
0000.jpg,0,23,000011111,9
0000.jpg,0,24,001110111,9
0000.jpg,0,25,000001010,9
0000.jpg,0,26,000011000,9
0000.jpg,0,27,000000011,9
0000.jpg,0,39,001110010,9
0000.jpg,0,40,001110100,9
0000.jpg,0,41,000001101,9
0000.jpg,0,42,001101001,9
0000.jpg,0,43,000001001,9
0000.jpg,0,44,010100111,9
0000.jpg,0,45,010110100,9
0000.jpg,0,46,001110001,9
0000.jpg,0,47,010000010,9
0000.jpg,0,48,000111111,9
0000.jpg,0,49,010000011,9
0000.jpg,0,50,001101101,9
0000.jpg,0,51,000001011,9
0000.jpg,0,52,000110100,9
0000.jpg,0,53,000110001,9
0000.jpg,0,54,001101111,9
0000.jpg,0,55,010101101,9
0000.jpg,0,56,010001011,9
0000.jpg,0,57,101010011,9
0000.jpg,0,58,101011000,9
0000.jpg,0,59,010101111,9
0000.jpg,1,-2,111110011,9
0000.jpg,1,2,111010010,9
0000.jpg,2,-1,111111011,9
0000.jpg,3,-2,011110001,9
0000.jpg,3,2,101100000,9
0000.jpg,4,-3,001101100,9
0000.jpg,4,3,010001000,9
0000.jpg,5,-3,101100010,9
0000.jpg,5,3,101011010,9
0000.jpg,6,-3,101100101,9
0000.jpg,6,3,101100011,9
0000.jpg,7,-3,111010011,9
0000.jpg,7,4,010110110,9
0000.jpg,15,-1,111000011,9
0000.jpg,0,-13,0000110011,10
0000.jpg,0,-12,0011100110,10
0000.jpg,0,-11,1110011011,10
0000.jpg,0,28,1110101000,10
0000.jpg,0,29,1111101011,10
0000.jpg,0,30,1011011000,10
0000.jpg,0,31,1011011001,10
0000.jpg,0,32,1011001000,10
0000.jpg,0,33,1011010010,10
0000.jpg,0,34,1010110110,10
0000.jpg,0,35,1011011101,10
0000.jpg,0,36,1010110111,10
0000.jpg,0,37,1010110010,10
0000.jpg,0,38,1110101001,10
0000.jpg,0,60,1110101101,10
0000.jpg,0,61,1010110011,10
0000.jpg,0,62,0111111000,10
0000.jpg,0,63,0011101010,10
0000.jpg,0,64,0101101011,10
0000.jpg,0,65,0011100001,10
0000.jpg,0,127,0001101111,10
0000.jpg,0,128,0111111001,10
0000.jpg,1,-3,0111101000,10
0000.jpg,1,3,0100010011,10
0000.jpg,2,-2,0001100000,10
0000.jpg,3,-4,0011010000,10
0000.jpg,3,-3,1011011010,10
0000.jpg,3,3,1110011010,10
0000.jpg,3,4,0100010101,10
0000.jpg,4,-4,1011010000,10
0000.jpg,4,4,1010111100,10
0000.jpg,4,5,0111100000,10
0000.jpg,5,-5,0000011001,10
0000.jpg,5,-4,1011001101,10
0000.jpg,5,4,1011011100,10
0000.jpg,5,5,0111100001,10
0000.jpg,6,-4,1011001111,10
0000.jpg,6,4,1110011111,10
0000.jpg,6,5,0111101010,10
0000.jpg,7,-5,0101101010,10
0000.jpg,7,-4,1111110101,10
0000.jpg,7,5,1110011100,10
0000.jpg,7,6,0001111101,10
